symbol,precursors,pct_signal,matched_by
HBA1,32,9.37427001416306,family
HBB,29,9.309573450617464,family
ALB,109,7.993713901343371,symbol
TF,95,0.4266460857527949,symbol
CA1,34,0.3350520869841229,symbol
HBD,19,0.11993421572318777,family
SERPINA1,45,0.06221858287038758,symbol
IGHG1,15,0.05415335788973432,family
APOA1,46,0.04225927799299053,symbol
IGKC,13,0.03930751400690437,family
C3,142,0.02298117744098634,symbol
HP,23,0.015011470525130717,symbol
HPX,31,0.0103701174757759,symbol
SERPINC1,32,0.01033148577418564,symbol
ORM1,13,0.009807999274047628,symbol
FGG,37,0.00869985296256873,symbol
IGHG2,11,0.007790058804980808,family
APOA2,8,0.007561882310911638,symbol
IGHM,31,0.007498092111904506,family
SLC4A1,42,0.00747469734141741,symbol
IGHA1,15,0.007439431780256917,family
AHSG,14,0.006134026491755945,symbol
FGA,55,0.005515902392758371,symbol
KRT1,30,0.005014085892895379,family
GC,39,0.004603217719664348,symbol
APOA4,39,0.004063631705592294,symbol
FGB,41,0.003998836383976705,symbol
HBG1,4,0.00348057202198938,family
TTR,8,0.0033809908435880527,symbol
CFH,58,0.0025379271580047076,symbol
CP,51,0.0024133503208194794,symbol
APOB,172,0.0023374987699863515,symbol
SPTA1,132,0.0022390156251995345,symbol
SERPINA3,21,0.002191285812433823,symbol
IGHG3,10,0.002033071723152557,family
APOH,15,0.0018347662752601819,symbol
KRT10,19,0.001782338284746402,family
ORM2,13,0.0016463848659073914,symbol
KRT9,20,0.001645079464815833,family
KNG1,25,0.0014688692768745522,symbol
CFB,24,0.001240903432682277,symbol
A1BG,18,0.0012329332995263164,symbol
VTN,19,0.0011919898319398545,symbol
PLG,34,0.0010105007460585167,symbol
AZGP1,18,0.0010012147814091783,symbol
APOD,11,9.383933459322968e-4,symbol
S100A9,14,9.272617464771614e-4,symbol
S100A8,8,7.956161441063045e-4,symbol
SERPING1,23,7.91029710104409e-4,symbol
IGHG4,17,6.932187224934446e-4,family
F2,25,6.737684627318644e-4,symbol
CLU,14,6.578039618210681e-4,symbol
IGKV3-20,2,5.782967409743913e-4,family
HBG2,3,4.339577852901589e-4,family
APOC3,5,4.0942575901219494e-4,symbol
IGLL5,2,4.083463235333115e-4,family
EPB42,22,3.756426650034072e-4,symbol
AGT,13,3.7483372637650504e-4,symbol
SERPIND1,13,3.270184714528119e-4,symbol
ITIH1,23,3.201661793300259e-4,symbol
RBP4,4,2.823627529578066e-4,symbol
LTF,19,2.629895570348505e-4,symbol
APCS,6,2.5098963822585445e-4,symbol
APOE,18,2.5057794313695784e-4,symbol
HRG,19,2.2328770436893643e-4,symbol
C4BPA,23,2.183260345311721e-4,symbol
IGHV3-7,2,2.1734999175111253e-4,family
IGKV4-1,3,2.1647791632833018e-4,family
AMBP,13,2.1568154225658898e-4,symbol
APOC2,4,2.0635055863544278e-4,symbol
CLEC3B,9,1.8970501036083602e-4,symbol
LRG1,9,1.8733154111833856e-4,symbol
KRT2,12,1.804247149543651e-4,family
C5,15,1.6078250382137258e-4,symbol
AFM,18,1.5588756314640723e-4,symbol
GYPC,2,1.5508073930083142e-4,symbol
JCHAIN,5,1.5144621964388624e-4,symbol
F13A1,21,1.4548017115315867e-4,symbol
PPBP,6,1.419321552890717e-4,symbol
HBZ,10,1.4110226143975355e-4,family
SERPINF2,12,1.4091495463638092e-4,symbol
C9,12,1.3855139324966536e-4,symbol
ARHGDIB,8,1.2728857477104188e-4,symbol
AHSP,7,1.1301424139134571e-4,symbol
IGHD,10,1.0413457278224916e-4,family
IGHV4-28,3,9.64396158534993e-5,family
C1QB,7,9.5235579546133745e-05,symbol
APOC1,5,9.10129048377717e-5,symbol
CTSG,5,7.817773255461184e-5,symbol
LYZ,3,7.771185885098649e-5,symbol
IGHV6-1,2,7.513971851431978e-5,family
IGKV1-5,1,7.004591332124703e-5,family
PGLYRP2,9,6.668893399642917e-5,symbol
IGHA2,5,6.542201774960212e-5,family
PON1,7,6.291555747429884e-5,symbol
MPP1,10,6.193645376082351e-5,symbol
LCP1,11,5.852345063767268e-5,symbol
TUBB1,4,5.0160582782280585e-5,symbol
C1S,14,4.943588843717016e-5,symbol
IGKV3D-20,1,4.650255182482494e-5,family
DMTN,11,4.44519374781544e-5,symbol
C1QC,6,4.442823822944266e-5,symbol
C4A,5,4.3543120182436776e-5,symbol
CFD,9,4.2003704287006506e-5,symbol
C6,12,4.1196604021178475e-5,symbol
IGLV1-47,1,4.040829661578678e-5,family
BCAM,16,3.945497178149089e-5,symbol
IGHV2-70D,1,3.78828536968073e-5,family
IGLV3-21,3,3.7658701908357084e-5,family
HPR,6,3.451857564170755e-5,symbol
HBQ1,7,3.149743231701006e-5,family
PZP,21,3.128751431547318e-5,symbol
C2,12,2.9702209028177076e-5,symbol
APOM,5,2.903610957459397e-5,symbol
SERPINA4,4,2.8743039112077772e-5,symbol
IGHV3-72,2,2.5780473869486037e-5,family
KLKB1,13,2.329168268627906e-5,symbol
CFI,11,2.3248581024349393e-5,symbol
PF4,1,2.289941702076588e-5,symbol
C8A,10,2.0884875874045088e-5,symbol
IGLV1-51,1,2.0856910753531424e-5,family
C1R,12,2.0708955546939015e-5,symbol
IGHV3-64D,1,2.0596547702826713e-5,family
SERPINA6,4,1.935742594159559e-5,symbol
IGHV3-15,3,1.9084983491803722e-5,family
IGHV3-35,1,1.8561315064907504e-5,family
SAA4,4,1.7234475551549272e-5,symbol
APOL1,4,1.630028557768283e-5,symbol
C8G,3,1.4014222674113081e-5,symbol
VWF,13,1.344505391619816e-5,symbol
CPN2,5,1.3065063351357364e-5,symbol
DCD,1,1.2668191192467336e-5,symbol
PROS1,7,1.1581471242466186e-5,symbol
C8B,13,1.1441885871226057e-5,symbol
IGLV1-40,1,1.083792295211038e-5,family
IGLV3-19,1,1.0330243653284746e-5,family
IGLV2-14,2,9.626155750958738e-6,family
C4B,4,9.614427287926634e-6,symbol
ITIH3,4,9.331406724548283e-6,symbol
IGHV3-49,1,9.121017103966292e-6,family
IGHV5-51,2,8.984595170597851e-6,family
FERMT3,4,8.865393434196972e-6,symbol
APOL2,6,8.815674133891087e-6,symbol
IGHV3-13,1,8.408002308489205e-6,family
IGKV3D-15,1,8.289605473908716e-6,family
FCN3,3,8.259671939395723e-6,symbol
SERPINA5,2,8.027022046721461e-6,symbol
IGFALS,5,7.958998711203332e-6,symbol
IGKV2-30,1,7.656113642944973e-6,family
MPO,6,7.463703668897143e-6,symbol
SERPINA7,5,7.237197827240801e-6,symbol
C7,13,7.0277705335290276e-6,symbol
LPA,6,6.351008656767059e-6,symbol
F9,7,6.204524845667164e-6,symbol
FETUB,1,5.66651391548139e-6,symbol
IGHV3-74,2,5.097648585131872e-6,family
CPB2,5,4.909473107248129e-6,symbol
IGHV3-43,1,4.8999923350637785e-6,family
PLTP,2,4.867501129508068e-6,symbol
ELANE,2,4.501431092361171e-6,symbol
IGKV2D-29,1,4.4308959870089186e-6,family
GP1BA,2,4.317437843630169e-6,symbol
HBM,1,4.0881889667871605e-6,family
IGHV1-69,1,4.043897195599924e-6,family
C1RL,3,3.3295241423842503e-6,symbol
IGLV2-11,1,3.1810959171143984e-6,family
IGHV1-2,1,3.1649631212216195e-6,family
CSTA,1,2.590751926177666e-6,symbol
IGHV1-18,2,2.4663781196550497e-6,family
IGLV6-57,2,2.1957270212467624e-6,family
IGLV3-9,1,2.165543635678785e-6,family
LCAT,1,2.1638012118129244e-6,symbol
IGLV8-61,2,1.7178674203623428e-6,family
F13B,5,1.6467248862781852e-6,symbol
GPLD1,1,1.5473540786989532e-6,symbol
HABP2,2,1.4603030505686205e-6,symbol
APOF,1,1.4503630582217854e-6,symbol
SBSN,4,1.4234452998003717e-6,symbol
LBP,1,1.3552790289352628e-6,symbol
BTD,4,1.343428229424486e-6,symbol
IGLV3-10,1,1.314287781861307e-6,family
CPN1,2,1.1776809110556535e-6,symbol
KRT13,2,1.115509622237393e-6,family
SELENOP,2,1.0494795114619224e-6,symbol
MASP1,2,9.548272372276714e-7,symbol
KRT5,2,9.409707925566078e-7,family
IGLC7,2,9.18860461103716e-7,family
IGLV4-69,1,8.492540692692635e-7,family
F12,3,8.170241716732337e-7,symbol
C4BPB,2,7.982071060406515e-7,symbol
IGKV1-16,1,7.914664083371467e-7,family
HRNR,7,7.408035176441298e-7,symbol
RNASE3,2,7.185869088676039e-7,symbol
CFHR2,1,7.006030397622389e-7,symbol
F10,2,6.449498446430174e-7,symbol
F11,1,6.296928049958023e-7,symbol
GMFG,1,5.749332455907179e-7,symbol
PRTN3,1,4.387743341396962e-7,symbol
SAA1,1,2.7650822337467046e-7,symbol
SPRR2G,2,2.5912127420693144e-7,family
GIMAP1,3,2.44627700189718e-7,symbol
KRT16,2,2.071701442218259e-7,family
KEL,1,1.2815967246693406e-7,symbol
KRTAP3-1,1,1.0631394197456479e-7,family
