database,pathway,set_id,treatment,n,rho,p,padj
Hallmark,HALLMARK_ADIPOGENESIS,Hallmark|HALLMARK_ADIPOGENESIS,HLRT,33,0.28910427807486633,0.10272152506031651,0.8423165054945954
Hallmark,HALLMARK_ADIPOGENESIS,Hallmark|HALLMARK_ADIPOGENESIS,BFR,32,-0.10483870967741936,0.567972928971288,0.9695674516797659
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Hallmark|HALLMARK_ALLOGRAFT_REJECTION,HLRT,33,-0.18382352941176472,0.3058219532868942,0.9896903457319353
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Hallmark|HALLMARK_ALLOGRAFT_REJECTION,BFR,32,-0.3024193548387097,0.09250455649815871,0.9695674516797659
Hallmark,HALLMARK_ANDROGEN_RESPONSE,Hallmark|HALLMARK_ANDROGEN_RESPONSE,HLRT,33,-0.22393048128342247,0.21029162040040172,0.9896903457319353
Hallmark,HALLMARK_ANDROGEN_RESPONSE,Hallmark|HALLMARK_ANDROGEN_RESPONSE,BFR,32,0.35777126099706746,0.044384799299502835,0.9695674516797659
Hallmark,HALLMARK_APICAL_JUNCTION,Hallmark|HALLMARK_APICAL_JUNCTION,HLRT,33,-0.29712566844919786,0.09311156745289108,0.8423165054945954
Hallmark,HALLMARK_APICAL_JUNCTION,Hallmark|HALLMARK_APICAL_JUNCTION,BFR,32,-0.12903225806451613,0.4815404761070987,0.9695674516797659
Hallmark,HALLMARK_APOPTOSIS,Hallmark|HALLMARK_APOPTOSIS,HLRT,33,0.007352941176470588,0.9676058377556673,0.9896903457319353
Hallmark,HALLMARK_APOPTOSIS,Hallmark|HALLMARK_APOPTOSIS,BFR,32,-0.10703812316715543,0.5598340484356557,0.9695674516797659
Hallmark,HALLMARK_BILE_ACID_METABOLISM,Hallmark|HALLMARK_BILE_ACID_METABOLISM,HLRT,33,0.02540106951871658,0.8884118166127936,0.9896903457319353
Hallmark,HALLMARK_BILE_ACID_METABOLISM,Hallmark|HALLMARK_BILE_ACID_METABOLISM,BFR,32,-0.019794721407624633,0.9143676244761189,0.9695674516797659
